12 12 7.360 61.0 114.620000 316.500000 117.750000
23 20 5.280 80.0 11.130000 874.000000 13.700000
28 25 6.190 180.0 17.640000 408.900000 17.900000
30 25 6.190 180.0 9.580000 289.600000 10.040000
31 25 6.190 180.0 12.900000 256.800000 13.240000
33 25 6.190 180.0 15.960000 527.900000 16.240000
37 28 6.630 -178.0 222.420000 316.500000 222.670000
40 28 6.630 -178.0 129.110000 442.900000 129.550000
41 29 5.330 59.0 106.330000 450.300000 106.630000
42 29 5.330 59.0 22.510000 477.200000 23.890000
43 29 5.330 59.0 18.870000 813.500000 20.500000
44 29 5.330 59.0 31.480000 302.000000 32.480000
45 29 5.330 59.0 20.430000 684.900000 21.940000
46 29 5.330 59.0 76.230000 316.500000 76.650000
47 29 5.330 59.0 93.220000 425.300000 93.560000
48 29 5.330 59.0 31.690000 597.100000 32.690000
49 29 5.330 59.0 44.980000 684.900000 45.680000
50 29 5.330 59.0 13.010000 486.000000 15.270000
51 30 6.610 83.0 55.200000 280.600000 58.240000
52 30 6.610 83.0 173.160000 338.500000 173.880000
54 30 6.610 83.0 214.320000 271.400000 215.240000
55 30 6.610 83.0 111.370000 438.300000 112.520000
57 30 6.610 83.0 19.330000 450.300000 22.630000
58 30 6.610 83.0 92.250000 477.200000 92.590000
59 30 6.610 83.0 89.370000 813.500000 89.720000
60 30 6.610 83.0 217.540000 184.800000 218.130000
61 30 6.610 83.0 218.170000 256.800000 218.750000
62 30 6.610 83.0 96.810000 302.000000 96.930000
64 30 6.610 83.0 59.520000 394.200000 61.640000
65 30 6.610 83.0 43.950000 308.400000 46.780000
66 30 6.610 83.0 139.140000 338.500000 139.800000
68 30 6.610 83.0 22.770000 316.500000 25.890000
70 30 6.610 83.0 22.220000 425.300000 27.400000
71 30 6.610 83.0 13.990000 602.100000 19.300000
72 30 6.610 83.0 19.450000 821.700000 25.070000
73 30 6.610 83.0 17.220000 670.800000 22.570000
74 30 6.610 83.0 193.250000 271.400000 193.910000
75 30 6.610 83.0 108.560000 438.300000 109.740000
76 30 6.610 83.0 109.010000 438.300000 110.180000
78 30 6.610 83.0 24.160000 452.900000 28.990000
81 30 6.610 83.0 35.540000 529.100000 38.970000
82 30 6.610 83.0 68.840000 297.900000 70.550000
84 30 6.610 83.0 205.770000 370.800000 207.860000
85 30 6.610 83.0 108.010000 338.500000 110.030000
86 30 6.610 83.0 124.790000 442.900000 126.780000
89 30 6.610 83.0 61.750000 669.500000 63.790000
91 30 6.610 83.0 61.720000 446.000000 61.840000
92 30 6.610 83.0 68.380000 347.700000 70.230000
93 30 6.610 83.0 39.450000 298.700000 41.380000
94 30 6.610 83.0 61.640000 486.000000 62.230000
95 31 6.240 0.0 3.510000 288.800000 4.740000
96 32 5.200 0.0 5.680000 288.800000 7.570000
97 33 5.650 75.0 18.100000 297.900000 19.790000
98 34 5.140 0.0 11.080000 1428.000000 12.660000
100 34 5.140 0.0 9.380000 370.800000 11.190000
106 36 5.890 -70.0 12.580000 622.900000 13.730000
107 37 4.790 -69.0 14.620000 438.300000 15.060000
108 37 4.790 -69.0 12.400000 438.300000 12.920000
109 38 4.370 -59.0 9.950000 438.300000 11.180000
110 38 4.370 -59.0 13.850000 438.300000 14.760000
111 38 4.370 -59.0 11.090000 438.300000 12.200000
112 39 4.700 -91.0 7.030000 438.300000 10.360000
113 39 4.700 -91.0 1.070000 622.900000 7.680000
114 39 4.700 -91.0 8.280000 438.300000 11.240000
115 39 4.700 -91.0 8.600000 438.300000 11.480000
116 39 4.700 -91.0 1.990000 438.300000 7.860000
117 39 4.700 -91.0 8.780000 438.300000 11.610000
118 39 4.700 -91.0 9.350000 345.400000 12.050000
119 39 4.700 -91.0 6.210000 477.700000 9.820000
120 39 4.700 -91.0 11.060000 438.300000 13.420000
121 40 6.500 80.0 49.130000 424.800000 49.380000
