ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-2.559614645640401,0.5192224565781055,-2.2827620895228367,0.576,-2.6073993159813806,0.5261758423105466,-2.5118943353315966,0.5344672477681794
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-2.7240780078607942,0.540219405920033,-2.420828325942024,0.576,-2.6247649119931165,0.5502344160012956,-2.6894371155464,0.5634609289204685
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-2.680224439702046,0.5293935842351426,-2.367160075818593,0.576,-2.643081293787612,0.539479429267319,-2.5819124069240464,0.5470742108556431
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-2.749109158762038,0.5185026777396152,-2.33325047494057,0.576,-2.7309225050203993,0.5210466047242088,-2.577655075606154,0.529987650272514
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-2.4202699190561283,0.516169528910699,-2.011805849491881,0.576,-2.3189306324845966,0.5202025004758158,-2.290212497598389,0.5272339446298182
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-2.582214920927302,0.5197612814041244,-2.191179447481357,0.576,-2.516090352669656,0.5243725828443289,-2.443432582511401,0.5323754704190697
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-1.3123695569084224,0.47707583561700834,-1.1614939472338577,0.576,-1.0639164546566104,0.48960130552720305,-1.213868789133724,0.4694366263199161
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-2.663884234719099,0.5291205271481363,-2.617093971178246,0.576,-2.8762445659015743,0.5413700437748418,-2.7501089076386878,0.549916980033029
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-2.794888098643008,0.5305561977672655,-2.5625615683291567,0.576,-2.8272100710147483,0.5407850700859003,-2.714796845462632,0.5491555537518161
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-2.903177863344486,0.5317063020369198,-2.6868173462854132,0.576,-2.938099108465441,0.5416452723891952,-2.791198549459677,0.5503657570887768
