ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-2.3019397123311753,0.5646159270987494,-2.1023247265380114,0.606,-2.2886586914781417,0.5484274632470936,-2.3778024127729025,0.5411352455991403
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-2.3728968581128442,0.5910687296720877,-2.133247211634608,0.606,-2.239965677814078,0.5852638940813112,-2.506890731649392,0.579289642329017
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-2.3877171116316998,0.577403163714872,-2.1521939446426552,0.606,-2.304881339015085,0.5659710437720746,-2.429738699070699,0.5576547986776791
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-2.516181742844171,0.5640583573053873,-2.173514371174903,0.606,-2.4285543111244445,0.544254814897345,-2.4599013488388346,0.5355702579215801
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-2.1329839624187663,0.5606491464704586,-1.8194126040277152,0.606,-1.986654041788006,0.5377415980276232,-2.1438764062322897,0.5311668930673931
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-2.3122483508216396,0.5653208310775036,-2.007050662734441,0.606,-2.1921039482213294,0.5452028274724431,-2.305377277960733,0.5382368510529063
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-0.9850789487050553,0.5143137512925458,-0.9035709971219126,0.606,-0.7761488538094057,0.4846361387575335,-1.04302410799047,0.4575773148945103
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-2.3984711075160043,0.5770192797304377,-2.411226425463604,0.606,-2.5564294171604804,0.5699983540109075,-2.609862736484962,0.5618720750232398
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-2.5213159931637015,0.5790654348085035,-2.3557156884588184,0.606,-2.5037648043349297,0.5689041065048608,-2.572476121077545,0.5607760728597403
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-2.6391604254282788,0.5806926700428914,-2.4840898604109234,0.606,-2.6243572316447903,0.5707172231269477,-2.654417677698915,0.5625743530504127
