ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-2.156377121498774,0.5706615115808533,-1.9904884164624281,0.608,-2.1081300661141724,0.5515599309489788,-2.2229162219661163,0.5480025264912564
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-2.2276723725817784,0.5982429069447688,-2.040301369365234,0.608,-2.0897980916853083,0.592306372981799,-2.3461619322682012,0.5872740050086058
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-2.242335522618254,0.5839680570497069,-2.0454511113093257,0.608,-2.1328097815518983,0.5706788696459686,-2.2723894965476292,0.5649823098938812
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-2.3747893099782664,0.5699895988857334,-2.0694585524677365,0.608,-2.2424245182704086,0.5473260622122896,-2.306390389533865,0.542218853602059
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-1.9774842896211458,0.5665822711654565,-1.7040159553059224,0.608,-1.8084450189553485,0.5394414218639515,-1.9893366790259595,0.5379211143427396
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-2.163341899009744,0.5713858259978004,-1.8940084100499242,0.608,-2.0121988006895744,0.5479117992363597,-2.150571405669558,0.5450725896888411
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-0.8224825470113701,0.5185451747377194,-0.766452433514622,0.608,-0.626251666379632,0.47835897688235024,-0.8970250978665902,0.4632002802262562
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-2.260908243480742,0.5835788188866631,-2.307329817294428,0.608,-2.384144931801514,0.5752960052896579,-2.452773839049895,0.5691942986292753
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-2.382137705023858,0.5856470530017152,-2.2509843744740508,0.608,-2.3312912595680326,0.5740587684757336,-2.4153754748857685,0.5680913364468938
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-2.503565594320605,0.5872954864790946,-2.3808380274113725,0.608,-2.4518253504641185,0.5761299758183889,-2.4974415075847105,0.5698871948272428
28,PTWN,215,748.0,0.0,Inferred,0.0,79,0,23.67737783853591,27.008765086752096,27.008765086752096,27.415661356422003,-1.4106693632946912,0.5940027428677831,-1.2622409779046793,0.608,-1.17952680356852,0.5897092826985859,-1.5064922872128028,0.5797892614697628
29,PERR,"216,758",748.0,0.0,Inferred,0.0,79,0,35.94868459960207,35.94900291451578,36.62671882162381,-35.94830353486208,-1.7193782657183427,0.5959335699113183,-1.5648373871873773,0.608,-1.5314327321399654,0.5907651890037319,-1.8872242370179257,0.5837661737574991
30,GAVI,"217,759",748.0,0.0,Inferred,0.0,79,0,42.31684260270281,42.31711301551798,42.975668651487034,-42.31512218635864,-1.8826244640665037,0.5967745143662901,-1.7012360917072282,0.608,-1.7039686621631722,0.5912664720122405,-2.0322951017473776,0.5850071632090639
31,MBRD,"218,760,783",387.0,0.3061561279296875,Inferred,150.0,79,0,25.190869916346557,25.19132416623809,25.927965976908848,-25.189698127441833,-1.3057105188882403,0.5640682841234733,-1.1839309877030622,0.608,-1.1056189462207624,0.5448597112625708,-1.420261950582822,0.5345084621389657
32,PEDL,"219,761,834,875,932",748.0,0.3061571044921875,Inferred,150.0,79,0,26.483309350195828,26.483741432138455,27.21287014576697,-26.482429421779994,-1.4106952296880202,0.5940264982244648,-1.3377681210438137,0.608,-1.2859948716550516,0.5898357135302944,-1.6188502534071054,0.5811027887119852
33,LBUT,"220,762",748.0,0.0,Inferred,0.0,79,0,39.558334345559,40.51859870776298,40.52731408878052,15.352925169775212,-1.8330279388987958,0.5965232878404233,-1.6434022403337172,0.608,-1.6505226183996706,0.591113049360514,-1.993561770288682,0.5846886040970886
34,ALIS,"221,763,876,933",748.0,0.0,Inferred,0.0,79,0,50.88588922269276,50.88611409894016,51.169283419112695,-13.463287264518497,-2.0700183552806335,0.5976238296213228,-1.8712272344071779,0.608,-1.904381555460132,0.5918230742645457,-2.1974513270259646,0.5862669481279396
35,PACI,"222,764,784",748.0,0.0,Inferred,0.0,79,0,39.037806662338056,39.03809978869723,39.42244154960501,-15.586101767346301,-1.8015584080096136,0.5963694343836201,-1.6322859593131387,0.608,-1.6181029275003798,0.5910191197184343,-1.9604208801484158,0.5844087480253674
36,SLVW,"223,765,901,950",748.0,0.0,Inferred,0.0,79,0,3.7524424442137976,7.5198159387022585,7.715724237498032,7.611720552847744,-0.3710209130802775,0.5829642364850526,-0.35477447010681346,0.608,-0.19335851888349515,0.5869921249186504,-0.12226677703040816,0.5560664528964435
37,ALP,"224,856,923,953",354.0,0.0,Inferred,0.0,79,0,79.9673723201904,79.96751541658746,80.04562464665258,3.5872739503823086,-2.375171338736747,0.5834078469336769,-2.1531567429808236,0.608,-2.1737397932880382,0.5681452086390735,-2.339883329372781,0.5627918750756873
38,OSI,"225,913,966",390.0,0.30704888916015627,Inferred,301.09075927734375,79,0,112.45436817463195,112.45446993188787,112.64524729199537,-21.901764044942766,-2.724193482252206,0.5900142916636645,-2.6787893038841326,0.608,-2.720743531827215,0.5804106719257622,-2.722362114792989,0.5742752289114939
39,PDE,"226,914,967",455.0,1.891710693359375,Inferred,150.0,79,0,95.6373950556412,95.63751470597185,95.91548442784635,-32.60238822695665,-2.56655128745731,0.5914006735061977,-2.474034058532483,0.608,-2.5449499885444355,0.5828721011382623,-2.5792692317350006,0.5764008742673051
40,MOP,"227,909,964",349.0,2.317824951171875,Inferred,300.07830810546875,79,0,124.43038592392585,124.43047788738627,124.78134708100575,-62.35553022614747,-2.7769848731124815,0.5883170219520045,-2.8197687119240187,0.608,-2.8374543682590425,0.5788892591634891,-2.8247981163378184,0.5728739448005545
41,LGU,"228,382,642,656,664,665,737,908,960,963",390.0,0.30588656616210935,Inferred,300.036865234375,79,0,141.22029778213567,141.22037881191676,141.62380704805966,-86.21992258326235,-2.956736563855849,0.592204260797089,-3.0980140168746026,0.608,-3.091009801634787,0.5847508308414009,-3.0526834804880316,0.5790443162895371
42,WSS,"229,921,974",390.0,2.6350205078125,Inferred,85.74756622314453,79,0,102.27708172403806,102.27719360684354,102.69186720450647,-61.9343161286625,-2.602026362249047,0.5886293128632487,-2.526212879699886,0.608,-2.584243627325497,0.578479598694963,-2.593990395940772,0.572056499303532
43,HLL,"230,905,959",280.0,1.1223736572265626,Inferred,320.9423828125,79,0,75.95770363108782,75.95785428126817,76.40901807789903,-48.872728654685226,-2.25519384116467,0.573537441061283,-2.0003479724364985,0.608,-2.117714073629285,0.5519123846853788,-2.2300029063031155,0.5482806966165708
44,LGB,"231,907,962",280.0,4.502671875,Inferred,717.0183715820312,79,0,66.89992908088387,66.90010012797805,67.48128514586809,-59.37915124653074,-1.9938909683316117,0.5660482071837016,-1.8637747029357437,0.608,-1.808776587819012,0.5466875430073805,-2.126696322027127,0.5440687974907136
45,COO,232,280.0,4.596244140625,Inferred,706.7113037109375,79,0,77.11134646111651,77.111494857463,77.6928475691047,-70.04659938480285,-2.1179019742477854,0.56930822493474,-2.0177091258650366,0.608,-1.9712323437843045,0.5525244962359214,-2.2423520945023396,0.5487617383213407
46,LAF,"233,906,961",387.0,2.5221943359375,Inferred,468.18499755859375,79,0,87.4617084009625,87.46183923587012,88.0265904224823,-77.70022897430464,-2.4433166359599934,0.5865371723182782,-2.297234697525754,0.608,-2.3745633855608204,0.5748209332513468,-2.4453093542922173,0.5687601039764371
47,RPV,"234,918,971",515.0,0.0,Inferred,0.0,79,0,101.24574636007017,101.2458593825637,101.81759239973705,-93.12485073827274,-2.691433873659287,0.5946205902058096,-2.5990114032947194,0.608,-2.6039013557600197,0.587238587679297,-2.6808779973328285,0.581024354782109
48,DLA,"235,904,958",280.0,5.349873046875,Inferred,823.2176513671875,79,0,72.39489218792437,72.39505025212283,73.00278170028876,-69.49963971312177,-2.0075707383336012,0.566008403522809,-1.946685312898726,0.608,-1.8472038935809105,0.5499499296880768,-2.1907643946002975,0.5467208485541992
49,BRE,"236,902,956",280.0,3.815594482421875,Inferred,688.8037719726562,79,0,69.132572844046,69.1327383671696,69.75358649097153,-68.45342468879711,-2.0821403460448065,0.5688177770945473,-1.897484657278632,0.608,-1.8716242540645551,0.5480499357261586,-2.153277833385299,0.5451852063215777
50,STG,"237,919,972",280.0,1.846126220703125,Inferred,0.0,79,0,72.20484906586495,72.20500754608737,72.8233669356958,-72.2033989045879,-2.2073238159113364,0.5724336367846637,-1.9438209042722883,0.608,-1.9976387239455948,0.549842048309383,-2.18862277754951,0.5466343232589935
51,PLS,"238,916,969",748.0,0.0,Inferred,0.0,79,0,52.0044375526931,52.004657592163355,52.64821779253282,-52.00356209806865,-2.092275924351579,0.5977171625380722,-1.8925163397552962,0.608,-1.9284316564516422,0.5918876127420986,-2.216992529100678,0.5864059021647746
52,OLI,"239,910,965",387.0,3.15256005859375,Inferred,429.1308288574219,79,0,53.72458777591082,53.724800770200574,54.36156096862185,-52.505000473440624,-1.9476672016511865,0.5787761622027519,-1.7527597992995494,0.608,-1.8238563684606182,0.5635688578788114,-2.030102737812925,0.5579169295008665
53,RIO,"240,917,970",354.0,2.8465947265625,Inferred,339.7779846191406,79,0,45.947139254199804,45.947388301741654,46.546362053098676,-39.36359162272424,-1.8083669385119976,0.5725255047603979,-1.594023429363702,0.608,-1.6488432528409518,0.5524338246230877,-1.8781170371787603,0.5477832681074883
54,CHN,"241,903,957",354.0,0.7460384521484374,Inferred,220.0,79,0,36.717518561497386,36.71783021122167,37.39778624691485,-36.71724889492399,-1.613427204526585,0.5677774155961377,-1.4196172806400902,0.608,-1.4354332564502625,0.5457227686029547,-1.698178256999235,0.540377723323448
56,TAB,242,748.0,0.0,Inferred,0.0,79,0,14.032911551120847,14.03372697139923,14.397870424928731,0.6798686732909106,-0.8719034733480032,0.589472093220605,-0.9502255956447232,0.608,-0.663579790949696,0.5881966286530157,-0.8978722991210508,0.5711228475650899
57,PDU,"243,915,968",354.0,0.30847784423828123,Inferred,200.0,79,0,22.982168339213533,22.98266624389229,23.73733673301781,-22.979955686510877,-1.2333927237497853,0.5564631998106356,-1.1126310008013476,0.608,-1.0287902291802875,0.5321282943830798,-1.3398780599485483,0.5226115871449375
64,SVD,"244,920,973",748.0,0.30638958740234373,Inferred,16.440473556518555,79,0,0.0,0.3003791021126226,3.1213707416071004,0.23612123075782054,0.04431407502386002,0.5751624353504633,0.021187384521116997,0.608,0.29444236769779686,0.5860011965359729,0.2334153125164273,0.5490593426427177
66,FIL,245,280.0,6.65884716796875,Inferred,982.72509765625,79,0,125.25655359213141,125.2566449490193,125.55789567850012,-51.15798479369365,-2.4530390822383414,0.5762951460151192,-2.7335483429808156,0.608,-2.543423599514453,0.5710983539684732,-2.7584402351912427,0.5646025054560284
67,LAPD,246,515.0,0.0,Inferred,0.0,79,0,59.003256036127695,59.00344997515854,59.143198095886476,-1.5284181103247598,-2.1416176824964133,0.5900902192617713,-1.919885794212521,0.608,-1.9374656972974011,0.5813415875774823,-2.1980454919563654,0.5740878240662406
68,STNI,"247,786,790,805,825,830",280.0,5.97972607421875,Inferred,874.417724609375,79,0,72.00677503355018,72.0069339497142,72.59011656262068,-65.00801881787483,-1.9665841618088928,0.5645853219723189,-1.9408352289718376,0.608,-1.8350601678803231,0.5497292496289141,-2.1863852471257585,0.5465437678130429
73,TEST,"312,333,335,438,439,492,633,644,718,736,742,776,777,796,797,799,800,802,819,820,821,826,835,836,878,885,887,888,889,890,895,896,912,922,931,944,949,952,976,977,984,989,990,993,994,996,997,1000,1001,1002,1004",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-2.156377121498774,0.5706615115808533,-1.9904884164624281,0.608,-2.1081300661141724,0.5515599309489788,-2.2229162219661163,0.5480025264912564
84,BVH,"309,342,493",387.0,3.3565380859375,Inferred,503.53207397460943,79,0,60.70486715132633,60.705055654091744,61.28967804729447,-53.384461913675516,-2.0422226340959275,0.5803713858067203,-1.8700401204469397,0.608,-1.9525275699126154,0.5664933034228259,-2.1328754389364866,0.5609353159217313
85,EMCH,310,280.0,3.1129189453125,Inferred,372.3587646484375,79,0,51.85046951468662,51.85069020755311,52.44183600122128,-44.846711501028395,-1.8897136556456642,0.563998461586777,-1.6348695413014147,0.608,-1.7283568114311487,0.5358501139886617,-1.9236250770397583,0.5347456675319634
86,SGRTT,336,354.0,1.9878197021484374,Inferred,160.0,79,0,42.02295548199715,42.023227785929436,42.624782341381824,-35.38427569283912,-1.7263874995609634,0.5705844110609967,-1.52201179434745,0.608,-1.5625459300104558,0.5497726665002817,-1.8059194239151717,0.5449268999672124
87,CSDH,311,387.0,3.345405517578125,Inferred,504.85052490234375,79,0,82.32559727854157,82.32573627593504,82.90459596914138,-75.04137861089553,-2.3422030407833283,0.5850522822824726,-2.2172946721922493,0.608,-2.299498156372956,0.5734854256999413,-2.3930507473941716,0.5675820571423238
88,HUMC,328,387.0,4.1108271484375,Inferred,441.32232666015625,79,0,87.08123959010678,87.08137099664759,87.65885891259659,-79.72153064518326,-2.3194428306499106,0.5844660125928295,-2.2913400857688635,0.608,-2.36907097000663,0.5747253524761898,-2.441539004960747,0.5686767475473574
89,SGCD,329,748.0,0.30706057739257814,Inferred,16.440473556518555,79,0,31.190688896426543,31.191055768278563,31.802606426165365,-24.407497113374333,-1.5678709798811967,0.5950438922872189,-1.4551689670646508,0.608,-1.3864554372315423,0.5903288611059959,-1.761896219839496,0.582584475259326
