ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-4.15059148219773,0.7599789470768252,-4.273882026681168,0.787,-4.876906833848031,0.7652549333392108,-4.112356439695681,0.7102281323631161
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-5.227601503258542,0.7599789470768252,-4.809884517680435,0.787,-5.535307616745903,0.7652549333392108,-5.1424234747842075,0.7102281323631161
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-4.615144060319925,0.7599789470768252,-4.477174493982667,0.787,-5.376690923068155,0.7652549333392108,-4.647821773771095,0.7102281323631161
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-4.360421610961904,0.7599789470768252,-4.2278437956523796,0.787,-5.024604608390074,0.7652549333392108,-4.4833389699563675,0.7102281323631161
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-4.167277960065073,0.7599789470768252,-4.083541876027372,0.787,-4.762670522175975,0.7652549333392108,-4.041248751362432,0.7102281323631161
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-4.317523724631644,0.7599789470768252,-4.214076521048194,0.787,-5.062916148546485,0.7652549333392108,-4.4410439861166875,0.7102281323631161
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-3.0086367295893064,0.7599789470768252,-3.155313541022259,0.787,-3.5879588270816165,0.7652549333392108,-3.4338724472764883,0.7102281323631161
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-4.314257851323994,0.7599789470768252,-4.6260009113646,0.787,-5.509846404241937,0.7652549333392108,-5.310177909548897,0.7102281323631161
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-4.671429648816709,0.7599789470768252,-4.591497477384001,0.787,-5.452469865417368,0.7652549333392108,-4.597123049500952,0.7102281323631161
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-4.806502617839696,0.7599789470768252,-4.660535089589173,0.787,-5.335131870924818,0.7652549333392108,-4.426355980929472,0.7102281323631161
28,PTWN,215,748.0,0.0,Inferred,0.0,79,0,23.67737783853591,27.008765086752096,27.008765086752096,27.415661356422003,-4.727280308707184,0.7599789470768252,-4.22391492072929,0.787,-4.870453065143125,0.7652549333392108,-4.640677273571621,0.7102281323631161
