ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-1.7475584322743927,0.5620946312141173,-1.6800428680371655,0.592,-1.7799010641300637,0.564522494855037,-1.5875661793456908,0.5836557809855384
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-2.0394853026612365,0.5854536702421465,-1.898516852050109,0.592,-2.0672056488340407,0.6083006053315111,-1.8404594823600142,0.615262545585216
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-1.9157850611576686,0.5742041964674882,-1.7870752437728237,0.592,-1.8614655700680005,0.5868933697716757,-1.6754688288471902,0.5986673127659754
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-1.9361389686931325,0.5604109371173706,-1.7253412737060303,0.592,-1.8651226729665091,0.5568431873073247,-1.6336322989820966,0.577790106785811
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-1.6268398282204692,0.5589477014518928,-1.4282165662490791,0.592,-1.5209266276494473,0.5539198427966574,-1.391907270036294,0.5764599603076672
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-1.7866558316252734,0.5626478500347507,-1.5958957021879407,0.592,-1.6995161584466725,0.5613545860252714,-1.527020366321835,0.5815814094310092
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-0.5829483911970086,0.5166193602994159,-0.4943224843814303,0.592,-0.36747249004133387,0.49596773510008924,-0.4731065217996277,0.5165765229694573
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-1.8665467468268941,0.5739655808707274,-2.0146767324640686,0.592,-2.073945660946478,0.5905647504007983,-1.8269865135852055,0.601069370134197
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-2.0252925330199796,0.5751637677214376,-1.964511127062925,0.592,-2.0283472495625405,0.5894644835265505,-1.794504220616896,0.6003488249540225
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-2.1384098698696166,0.5761679114133972,-2.0763854699640336,0.592,-2.1282715761347153,0.5911141437718848,-1.8633264176603002,0.6013742436637525
28,PTWN,215,748.0,0.0,Inferred,0.0,79,0,23.67737783853591,27.008765086752096,27.008765086752096,27.415661356422003,-1.3246356621799256,0.5854536702421465,-1.1445678827640087,0.592,-1.223956828941249,0.606655869306623,-1.118454927661357,0.615262545585216
29,PERR,"216,758",748.0,0.0,Inferred,0.0,79,0,35.94868459960207,35.94900291451578,36.62671882162381,-35.94830353486208,-1.6016108881959874,0.5854536702421465,-1.4488937975678817,0.592,-1.5520152729357264,0.6073243273774137,-1.4540381841361545,0.615262545585216
30,GAVI,"217,759",748.0,0.0,Inferred,0.0,79,0,42.31684260270281,42.31711301551798,42.975668651487034,-42.31512218635864,-1.7437863927992514,0.5854536702421465,-1.5811021089451522,0.592,-1.715304409814139,0.6076476447201732,-1.5765446841267217,0.615262545585216
31,MBRD,"218,760,783",387.0,0.3061561279296875,Inferred,150.0,79,0,25.190869916346557,25.19132416623809,25.927965976908848,-25.189698127441833,-1.0965506758909445,0.5612443195387921,-0.985603830070557,0.592,-0.8994810557752336,0.5650600268780859,-0.9508896223992992,0.5802168900365082
32,PEDL,"219,761,834,875,932",748.0,0.3061571044921875,Inferred,150.0,79,0,26.483309350195828,26.483741432138455,27.21287014576697,-26.482429421779994,-1.3274152681732436,0.5854536702421465,-1.2220421424579424,0.592,-1.202999749067631,0.6067110887780898,-1.2263533083841454,0.615262545585216
33,LBUT,"220,762",748.0,0.0,Inferred,0.0,79,0,39.558334345559,40.51859870776298,40.52731408878052,15.352925169775212,-1.6997714323938566,0.5854536702421465,-1.5253937392725476,0.592,-1.666579669415626,0.6075522169077515,-1.543871403536452,0.615262545585216
34,ALIS,"221,763,876,933",748.0,0.0,Inferred,0.0,79,0,50.88588922269276,50.88611409894016,51.169283419112695,-13.463287264518497,-1.905846080884602,0.5854536702421465,-1.7420852242177907,0.592,-1.900503258740396,0.608000097384927,-1.7155939370405182,0.615262545585216
35,PACI,"222,764,784",748.0,0.0,Inferred,0.0,79,0,39.037806662338056,39.03809978869723,39.42244154960501,-15.586101767346301,-1.6733164590274308,0.5854536702421465,-1.5146280871502102,0.592,-1.634460786060656,0.6074887920209928,-1.5158954807606122,0.615262545585216
36,SLVW,"223,765,901,950",748.0,0.0,Inferred,0.0,79,0,3.7524424442137976,7.5198159387022585,7.715724237498032,7.611720552847744,-0.30997511816901513,0.5854536702421465,-0.1481178350043253,0.592,-0.22511115775678636,0.6047859562994307,0.13457520847518,0.615262545585216
37,ALP,"224,856,923,953",354.0,0.0,Inferred,0.0,79,0,79.9673723201904,79.96751541658746,80.04562464665258,3.5872739503823086,-2.018191780726298,0.5730308520080806,-1.8625121238416738,0.592,-1.9807594150609502,0.583228358887179,-1.7184575142483471,0.5961295056275642
38,OSI,"225,913,966",390.0,0.30704888916015627,Inferred,301.09075927734375,79,0,112.45436817463195,112.45446993188787,112.64524729199537,-21.901764044942766,-2.33275732033112,0.5778565145631653,-2.331842260791444,0.592,-2.3477750886702045,0.5946565106761447,-2.047817131830687,0.6039328259066289
39,PDE,"226,914,967",455.0,1.891710693359375,Inferred,150.0,79,0,95.6373950556412,95.63751470597185,95.91548442784635,-32.60238822695665,-2.22292462894114,0.5797409615009935,-2.1887001528104864,0.592,-2.239595973628118,0.5984455371913783,-1.9553410741760826,0.6067080852257545
40,MOP,"227,909,964",349.0,2.317824951171875,Inferred,300.07830810546875,79,0,124.43038592392585,124.43047788738627,124.78134708100575,-62.35553022614747,-2.3520921794165535,0.5761368466875237,-2.42761002172093,0.592,-2.416023450938187,0.5918850279103992,-2.112410675733647,0.6021532262689175
41,LGU,"228,382,642,656,664,665,737,908,960,963",390.0,0.30588656616210935,Inferred,300.036865234375,79,0,141.22029778213567,141.22037881191676,141.62380704805966,-86.21992258326235,-2.5306775361639136,0.5791552328427005,-2.6829076521867825,0.592,-2.639257207531021,0.5982506167872196,-2.3122232094942308,0.6065878269631025
42,WSS,"229,921,974",390.0,2.6350205078125,Inferred,85.74756622314453,79,0,102.27708172403806,102.27719360684354,102.69186720450647,-61.9343161286625,-2.224026358746355,0.577028685816185,-2.202284957912741,0.592,-2.237976546786867,0.593101682527372,-1.9444186801477072,0.6026869229380076
43,HLL,"230,905,959",280.0,1.1223736572265626,Inferred,320.9423828125,79,0,75.95770363108782,75.95785428126817,76.40901807789903,-48.872728654685226,-1.865380097509499,0.5642816176344816,-1.688610632847513,0.592,-1.7894741488406656,0.564827819051988,-1.5934945037262163,0.5838520195508177
44,LGB,"231,907,962",280.0,4.502671875,Inferred,717.0183715820312,79,0,66.89992908088387,66.90010012797805,67.48128514586809,-59.37915124653074,-1.5882736351244633,0.5585316765749683,-1.5694021963973324,0.592,-1.477227889184821,0.560287647795312,-1.5070285988793946,0.5808675884120358
45,COO,232,280.0,4.596244140625,Inferred,706.7113037109375,79,0,77.11134646111651,77.111494857463,77.6928475691047,-70.04659938480285,-1.6921258580749765,0.5610565772438619,-1.7036838960375718,0.592,-1.6167703810827165,0.5653578442729309,-1.6038240618409427,0.5841910908884074
46,LAF,"233,906,961",387.0,2.5221943359375,Inferred,468.18499755859375,79,0,87.4617084009625,87.46183923587012,88.0265904224823,-77.70022897430464,-2.08684124470078,0.5757069156627427,-2.004450960188632,0.592,-2.0644066387110778,0.5900711633898279,-1.819617358456561,0.6007312323386749
47,RPV,"234,918,971",515.0,0.0,Inferred,0.0,79,0,101.24574636007017,101.2458593825637,101.81759239973705,-93.12485073827274,-2.3597353680639097,0.582233908490474,-2.3206629744184,0.592,-2.416697969663794,0.6028738398560219,-2.0580949666120962,0.6102568180455247
48,DLA,"235,904,958",280.0,5.349873046875,Inferred,823.2176513671875,79,0,72.39489218792437,72.39505025212283,73.00278170028876,-69.49963971312177,-1.5779037062814059,0.5585006323203835,-1.6419103744793695,0.592,-1.5063798367821564,0.5631262963638999,-1.5606640312542068,0.5827500351127373
49,BRE,"236,902,956",280.0,3.815594482421875,Inferred,688.8037719726562,79,0,69.132572844046,69.1327383671696,69.75358649097153,-68.45342468879711,-1.6858469972741412,0.5606789314327307,-1.5989378793851774,0.592,-1.5339530589610015,0.5614748364944829,-1.5292862569029555,0.58166139307597
50,STG,"237,919,972",280.0,1.846126220703125,Inferred,0.0,79,0,72.20484906586495,72.20500754608737,72.8233669356958,-72.2033989045879,-1.8243708270898906,0.5634452565895195,-1.6394127680904746,0.592,-1.7902821712558517,0.5630326442599233,-1.5588717580215055,0.5826887954212575
51,PLS,"238,916,969",748.0,0.0,Inferred,0.0,79,0,52.0044375526931,52.004657592163355,52.64821779253282,-52.00356209806865,-1.9250271701578316,0.5854536702421465,-1.7619739492910216,0.592,-1.9223826901207286,0.608040515776779,-1.7320191664539726,0.615262545585216
52,OLI,"239,910,965",387.0,3.15256005859375,Inferred,429.1308288574219,79,0,53.72458777591082,53.724800770200574,54.36156096862185,-52.505000473440624,-1.6534790415102223,0.5708945659279958,-1.5260115696014371,0.592,-1.5868601320725984,0.5810232925286481,-1.4701152220220803,0.5944481662667547
53,RIO,"240,917,970",354.0,2.8465947265625,Inferred,339.7779846191406,79,0,45.947139254199804,45.947388301741654,46.546362053098676,-39.36359162272424,-1.5223905841697882,0.5657147457453133,-1.367167343646304,0.592,-1.4109449613663876,0.5701376700083183,-1.3294961547300295,0.5867051735453302
54,CHN,"241,903,957",354.0,0.7460384521484374,Inferred,220.0,79,0,36.717518561497386,36.71783021122167,37.39778624691485,-36.71724889492399,-1.3531815668382203,0.5624031287254605,-1.2042901602985503,0.592,-1.2091350906022422,0.5643240681167755,-1.1769664705249492,0.5819165796713726
56,TAB,242,748.0,0.0,Inferred,0.0,79,0,14.032911551120847,14.03372697139923,14.397870424928731,0.6798686732909106,-0.8320810423777563,0.5854536702421465,-0.8133578366568498,0.592,-0.6895694997435402,0.6055927619695254,-0.5875693046690582,0.615262545585216
57,PDU,"243,915,968",354.0,0.30847784423828123,Inferred,200.0,79,0,22.982168339213533,22.98266624389229,23.73733673301781,-22.979955686510877,-1.015504213277011,0.5541758127906231,-0.9026842127983679,0.592,-0.8085627672854423,0.5521410002339999,-0.8712976133417359,0.5700068751303561
64,SVD,"244,920,973",748.0,0.30638958740234373,Inferred,16.440473556518555,79,0,0.0,0.3003791021126226,3.1213707416071004,0.23612123075782054,0.20454408678363029,0.5854536702421465,0.22433227211052487,0.592,0.32283374496583445,0.6040450362402988,0.4401818135896295,0.615262545585216
66,FIL,245,280.0,6.65884716796875,Inferred,982.72509765625,79,0,125.25655359213141,125.2566449490193,125.55789567850012,-51.15798479369365,-1.9329148361466657,0.5663550683834975,-2.3136957295103118,0.592,-2.069752481505355,0.5815757622057881,-2.024602447940075,0.5951619918086406
67,LAPD,246,515.0,0.0,Inferred,0.0,79,0,59.003256036127695,59.00344997515854,59.143198095886476,-1.5284181103247598,-1.8872232212075146,0.5804555066528714,-1.7253647207427598,0.592,-1.8505141831773089,0.5986032822073458,-1.6520361617015054,0.6076918782411209
68,STNI,"247,786,790,805,825,830",280.0,5.97972607421875,Inferred,874.417724609375,79,0,72.00677503355018,72.0069339497142,72.59011656262068,-65.00801881787483,-1.5289741914316826,0.5573872266635556,-1.6368088844040207,0.592,-1.4954149493811066,0.5629347092690654,-1.556999172139179,0.582624690638347
73,TEST,"312,333,335,438,439,492,633,644,718,736,742,776,777,796,797,799,800,802,819,820,821,826,835,836,878,885,887,888,889,890,895,896,912,922,931,944,949,952,976,977,984,989,990,993,994,996,997,1000,1001,1002,1004",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-1.7475584322743927,0.5620946312141173,-1.6800428680371655,0.592,-1.7799010641300637,0.564522494855037,-1.5875661793456908,0.5836557809855384
84,BVH,"309,342,493",387.0,3.3565380859375,Inferred,503.53207397460943,79,0,60.70486715132633,60.705055654091744,61.28967804729447,-53.384461913675516,-1.7273443410246674,0.5718982021974569,-1.630858837280137,0.592,-1.7023386308909074,0.5834055832080047,-1.556875889138878,0.5962152656549441
85,EMCH,310,280.0,3.1129189453125,Inferred,372.3587646484375,79,0,51.85046951468662,51.85069020755311,52.44183600122128,-44.846711501028395,-1.5464194908883813,0.5569260746338042,-1.3662626521575771,0.592,-1.4488808173231222,0.5507247927978761,-1.3367716089919952,0.5741585354161745
86,SGRTT,336,354.0,1.9878197021484374,Inferred,160.0,79,0,42.02295548199715,42.023227785929436,42.624782341381824,-35.38427569283912,-1.4507858217013905,0.5643702369837348,-1.3005932706013739,0.592,-1.33012024433654,0.5678493779903581,-1.2683683592042367,0.5848695871074902
87,CSDH,311,387.0,3.345405517578125,Inferred,504.85052490234375,79,0,82.32559727854157,82.32573627593504,82.90459596914138,-75.04137861089553,-1.9861524040040777,0.5747996090964888,-1.935350037412503,0.592,-2.0017133538871708,0.5890081416054397,-1.7757671242724227,0.6000571760539739
88,HUMC,328,387.0,4.1108271484375,Inferred,441.32232666015625,79,0,87.08123959010678,87.08137099664759,87.65885891259659,-79.72153064518326,-1.9395510809195549,0.5744396806114033,-1.9993665016421582,0.592,-2.0598416178780874,0.5899950693840174,-1.8164548514022947,0.6006836039162489
89,SGCD,329,748.0,0.30706057739257814,Inferred,16.440473556518555,79,0,31.190688896426543,31.191055768278563,31.802606426165365,-24.407497113374333,-1.466765665102884,0.5854536702421465,-1.3404356100213053,0.592,-1.4098129645420088,0.6070385745625229,-1.3478937854185542,0.615262545585216
90,TRA,"249,330",387.0,1.782902099609375,Inferred,309.8696594238281,79,0,92.35680011605396,92.35692401646419,92.93046256928626,-84.3869367857136,-2.1335035953478605,0.5761249770527962,-2.06940674187499,0.592,-2.1221310356377874,0.5910156115675635,-1.8591683872601432,0.6013142830813631
91,RHCH,"343,925,981",390.0,0.40716253662109375,Inferred,303.3254089355469,79,0,94.76262784575589,94.76274860059425,95.33689711841004,-86.98813158559483,-2.181167964814191,0.5766877203662164,-2.1046629490907933,0.592,-2.1535444086815323,0.5918281969955016,-1.881180027445558,0.6018438595069172
99,MRSD,344,748.0,0.3081188659667969,Inferred,16.440473556518555,79,0,34.218913268429766,34.21924767405788,34.838158796270626,-28.232869464002867,-1.5465702780299795,0.5854536702421465,-1.4105687046239155,0.592,-1.5017465754510413,0.6072252652064538,-1.4171092210998961,0.615262545585216
128,P14,358,390.0,2.3359453125,Inferred,304.92254638671875,79,0,72.48070553699907,72.48086341405823,73.00402639531934,-56.478988313916986,-1.9293551286793107,0.5743457846685014,-1.8032340426795852,0.592,-1.877224644672872,0.5871804579939186,-1.6869871947383828,0.5988629090140858
134,P25,437,748.0,0.3071926574707031,Inferred,150.0,79,0,91.21120171775596,91.2113271743338,91.68563368145061,-64.73600524880119,-2.4116738769219888,0.5854536702421465,-2.3626670852781073,0.592,-2.4602439118593864,0.6090008505179741,-2.1577823135037875,0.615262545585216
135,P24,436,748.0,0.307747314453125,Inferred,150.0,79,0,92.5869512386738,92.58707483109485,93.03714201530165,-61.47723469007372,-2.425004706004871,0.5854536702421465,-2.3814621032225523,0.592,-2.47701932423497,0.6090245388033804,-2.1691505673446314,0.615262545585216
136,P23,367,390.0,0.9179027099609375,Inferred,88.0196533203125,79,0,93.52693859690244,93.52706094716629,93.96118072426246,-59.310509727774914,-2.1502236098943985,0.5764234039383254,-2.088437930209718,0.592,-2.13933333850385,0.591607089021496,-1.8716221239122783,0.6017103124908368
137,P22,366,280.0,2.6350205078125,Inferred,87.282958984375,79,0,94.4868380051364,94.48695911243564,94.90570877419289,-57.22030203136312,-2.0441290752603853,0.5675798698562862,-1.9281402614604302,0.592,-2.0032328254901284,0.5723400935731447,-1.7443142380044983,0.5884602465582665
138,P21,365,280.0,2.6350205078125,Inferred,220.0,79,0,95.96288877494513,95.96300801943781,96.36663021462084,-55.481116605055156,-2.056940616040703,0.5677959846443663,-1.9469955368971499,0.592,-2.019242602016375,0.5728611952920952,-1.7551200662321624,0.5887635584698586
139,P20,364,390.0,2.750307861328125,Inferred,16.440473556518555,79,0,97.62479278385327,97.62490999840402,98.01466276603892,-54.02316448791293,-2.1839319128607246,0.57670446201333,-2.1420537637892045,0.592,-2.2328939298355364,0.5923271991297459,-1.9028653939141607,0.6021421315960197
149,P1,"345,927,982",390.0,6.09691943359375,Inferred,97.69657897949219,79,0,86.13162071893963,86.13175357426242,86.48758985817851,-40.98971733617418,-1.7581990561794396,0.5728736615937288,-1.9902343090452312,0.592,-2.05196638441121,0.5902051193211137,-1.8117487031790038,0.6008439058218294
150,P2,346,455.0,4.5495048828125,Inferred,215.1052703857422,79,0,83.92874938159072,83.92888572395121,84.30383643701198,-42.73612744792547,-1.9166513176306004,0.5780077378103775,-2.0317622665009587,0.592,-2.098648411475351,0.5969796486091081,-1.858897773995324,0.6058156919940275
151,P3,347,280.0,2.387978271484375,Inferred,341.7325439453125,79,0,80.56687140045797,80.56701343207484,80.96739884220376,-44.54455560128942,-1.9132992380192075,0.5652198175591411,-1.7486990306268648,0.592,-1.845271506872415,0.5668891870133307,-1.6339390821175246,0.5851592226814291
152,P4,348,280.0,1.15811181640625,Inferred,327.37982177734375,79,0,76.48912125689252,76.48927086041417,76.91569001690036,-45.62530975329736,-1.8710379253218143,0.5643945550050389,-1.6955568803436654,0.592,-1.7960160511716663,0.5650731888884327,-1.5982704335213416,0.5840092406447532
153,P5,349,280.0,1.123426025390625,Inferred,330.59228515625,79,0,73.33101513098264,73.33117117738269,73.77869604157264,-46.33563658984178,-1.8368758752099785,0.563703630976506,-1.6542032642414526,0.592,-1.7566845001832287,0.5635832155888333,-1.5694304574834934,0.5830479484933259
